,nama,harga,gambar,diskon,rating
56,SSD WD Red 1TB SATA NAS,Rp 2.790.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/7/14/12eb9f23-fd23-46ce-a6a0-6f6606af79dc.jpg,0,98
57,SSD WD Red 500GB SATA NAS,Rp 1.445.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/7/14/a19f92b6-b4ca-407e-b47b-e657b7dd78b6.jpg,0,98
58,"WD Caviar Purple 10TB - HD Hardisk Internal 3.5"" for CCTV Surveillance",Rp 4.795.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/c64ba21e-18d8-4b02-8a6f-a2dd520c8e1d.jpg,0,100
59,"WD My Passport 5TB Hitam - HD HDD Hardisk Eksternal External 2.5""",Rp 2.009.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/e44087cd-0989-45ef-9fdb-6c8195cc7fdf.jpg,5,98
60,WD Black D10 8TB Game Drive - Hardisk Eksternal Gaming,Rp 3.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/6/11/125b117b-301f-481e-9607-f0a530cfe1b8.jpg,0,99
61,WD Black P10 2TB Game Drive - Hardisk Eksternal Gaming,Rp 1.339.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/6/6/d253eca9-8920-4d2a-8cad-515921462bae.jpg,1,99
62,Promo WD Black P10 4TB Game Drive - Hardisk Eksternal Gaming,Rp 1.950.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/6/6/dadf83d4-79f4-4f64-af91-292b6927b3df.jpg,2,99
63,WD Black P10 4TB Game Drive - Hardisk Eksternal Gaming,Rp 1.950.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/6/6/6160f9e8-4dd7-4ca5-a991-9a5e2f7901e5.jpg,2,99
64,Promo WD My Passport Ultra 2TB - HD HDD Hardisk Eksternal External 2.5,Rp 1.339.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/6697f64a-be69-4335-bb91-ef3def7d1a0e.jpg,7,99
65,Promo WD My Passport Ultra 4TB - HD HDD Hardisk Eksternal External 2.5,Rp 1.959.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/61dd35a9-d03f-4e1c-a286-9ef8b83e96a2.jpg,5,98
66,FS WD My Cloud Home 4TB - Hardisk Eksternal Personal Cloud Storage,Rp 3.325.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/3c231fb7-a9fe-432b-9722-bff3c48bcf64.jpg,0,98
67,FS WD My Cloud Home 8TB - Hardisk Eksternal Personal Cloud Storage,Rp 5.585.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/bff5177e-1803-49ee-86b1-c704c0a4b590.jpg,0,99
68,"FS WD My Passport Ultra 2TB - HD HDD Hardisk Eksternal External 2.5""",Rp 1.339.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/f34bd7a1-21e7-4aa3-9040-cfb78d4630d5.jpg,7,99
69,"FS WD My Passport Ultra 4TB - HD HDD Hardisk Eksternal External 2.5""",Rp 1.959.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/cd01ef6a-7686-403c-b4c8-db60c397b9a4.jpg,5,99
70,FS SSD WD Blue 3D NAND 1TB SATA III 3D 6Gb/s,Rp 1.485.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/7/36468c3f-a0c3-4b6c-86bc-90f4c4eb6fc5.jpg,0,99
71,Promo SSD WD Blue 3D NAND 1TB SATA III 3D 6Gb/s,Rp 1.485.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/7/c0032ea9-a032-4662-a733-f638bfc22677.jpg,0,99
72,Promo SSD WD Blue 3D NAND 250GB SATA III 3D 6Gb/s,Rp 555.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/28/ba43382a-affa-4159-bfe8-b60b5d8066eb.jpg,3,98
73,Promo SSD WD Blue 3D NAND 500GB SATA III 3D 6Gb/s,Rp 780.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/7/a658c44a-fb32-42c9-b8f4-4028e7875602.jpg,0,98
74,Promo SSD WD Green 240GB SATA3 6GB/s,Rp 350.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/7/1/e13c507e-d474-4e13-90a0-296250fdb4a0.jpg,0,99
75,"WD My Passport New 4TB - Hardisk Eksternal 2.5"" USB 3.0 Free Pouch",Rp 1.665.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/51defd67-55d7-4acf-b6b3-843abae4a129.jpg,6,98
76,SSD WD Green 240GB SATA3 6GB/s Bonus Pen [FS],Rp 350.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/7/1/b5216274-a922-4d63-aba8-7696ae895e18.jpg,0,98
77,"WD Element 1TB - Hardisk Eksternal 2.5"" USB 3.0 Bonus Pen [FS]",Rp 749.000,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2022/1/28/31976a22-508e-479c-9ae4-7e0ebc276e08.jpg,12,99
78,SSD WD Blue 3D NAND 1TB SATA III 3D 6Gb/s,Rp 1.485.000,https://images.tokopedia.net/img/cache/300-square/product-1/2020/7/4/24489453/24489453_5c83f2e3-6371-4bd3-ba36-bf953bfd58a5_700_700,0,98
79,"WD My Passport 1TB Red - HD HDD Hardisk Eksternal External 2.5""",Rp 779.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/9e63788b-0a65-41df-b83b-2c179c6e7764.jpg,13,98
